Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,38.722500,39.712502,38.557499,39.480000,38.505024,148158800
2019-01-03,35.994999,36.430000,35.500000,35.547501,34.669640,365248800
2019-01-04,36.132500,37.137501,35.950001,37.064999,36.149662,234428400
2019-01-07,37.174999,37.207500,36.474998,36.982498,36.069202,219111200
2019-01-08,37.389999,37.955002,37.130001,37.687500,36.756794,164101200
2019-01-09,37.822498,38.632500,37.407501,38.327499,37.380985,180396400
2019-01-10,38.125000,38.492500,37.715000,38.450001,37.500465,143122800
2019-01-11,38.220001,38.424999,37.877499,38.072498,37.132290,108092800
2019-01-14,37.712502,37.817501,37.305000,37.500000,36.573921,129756800
2019-01-15,37.567501,38.347500,37.512501,38.267502,37.322472,114843600
2019-01-16,38.270000,38.970001,38.250000,38.735001,37.778423,122278800
2019-01-17,38.549999,39.415001,38.314999,38.965000,38.002739,119284800
2019-01-18,39.375000,39.470001,38.994999,39.205002,38.236813,135004000
2019-01-22,39.102501,39.182499,38.154999,38.325001,37.378555,121576000
2019-01-23,38.537498,38.785000,37.924999,38.480000,37.529724,92522400
2019-01-24,38.527500,38.619999,37.935001,38.174999,37.232254,101766000
2019-01-25,38.869999,39.532501,38.580002,39.439999,38.466007,134142000
2019-01-28,38.947498,39.082500,38.415001,39.075001,38.110027,104768400
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.715031,166348800
2019-01-30,40.812500,41.537498,40.057499,41.312500,40.292267,244439200
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.582428,162958400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.601936,130672400
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.755226,125982000
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.469643,144406400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.484268,112958400
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.679646,126966800
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.728615,95280000
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.488640,83973600
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.846161,89134000
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.672295,89960800
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.824120,87342800
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.731060,98507200
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.855953,75891200
2019-02-20,42.797501,43.330002,42.747501,43.007500,42.125313,104457600
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.887783,68998800
2019-02-22,42.895000,43.250000,42.845001,43.242500,42.355495,75652800
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.664028,87493600
2019-02-26,43.427502,43.825001,43.292500,43.582500,42.688511,68280800
2019-02-27,43.302502,43.750000,43.182499,43.717499,42.820747,111341600
2019-02-28,43.580002,43.727501,43.230000,43.287498,42.399570,112861600
2019-03-01,43.570000,43.787498,43.222500,43.742500,42.845234,103544800
2019-03-04,43.922501,44.437500,43.492500,43.962502,43.060719,109744800
2019-03-05,43.985001,44.000000,43.634998,43.882500,42.982357,78949600
2019-03-06,43.667500,43.872501,43.485001,43.630001,42.735043,83241600
2019-03-07,43.467499,43.610001,43.005001,43.125000,42.240398,99185600
2019-03-08,42.580002,43.267502,42.375000,43.227501,42.340797,95997600
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.807579,128044000
2019-03-12,45.000000,45.667500,44.842499,45.227501,44.299774,129870400
2019-03-13,45.562500,45.825001,45.230000,45.427502,44.495667,124130000
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.990303,94318000
2019-03-15,46.212502,46.832500,45.935001,46.529999,45.575550,156171600
2019-03-18,46.450001,47.097500,46.447498,47.005001,46.040817,104879200
2019-03-19,47.087502,47.247501,46.480000,46.632500,45.675953,126585600
2019-03-20,46.557499,47.372501,46.182499,47.040001,46.075096,124140800
2019-03-21,47.505001,49.082500,47.452499,48.772499,47.772057,204136800
2019-03-22,48.834999,49.422501,47.695000,47.762501,46.782772,169630800
2019-03-25,47.877499,47.994999,46.650002,47.185001,46.217113,175381200
2019-03-26,47.915001,48.220001,46.145000,46.697498,45.739620,199202000
2019-03-27,47.187500,47.439999,46.637501,47.117500,46.151005,119393600
2019-03-28,47.237499,47.389999,46.882500,47.180000,46.212219,83121600
2019-03-29,47.457500,47.520000,47.134998,47.487499,46.513416,94256000
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.829304,111448000
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.510036,91062800
2019-04-03,48.312500,49.125000,48.287498,48.837502,47.835732,93087200
2019-04-04,48.697498,49.092499,48.285000,48.922501,47.918972,76457200
2019-04-05,49.112499,49.275002,48.982498,49.250000,48.239758,74106400
2019-04-08,49.105000,50.057499,49.084999,50.025002,48.998871,103526800
2019-04-09,50.080002,50.712502,49.807499,49.875000,48.851940,143072800
2019-04-10,49.669998,50.185001,49.544998,50.154999,49.126194,86781200
2019-04-11,50.212502,50.250000,49.610001,49.737499,48.717262,83603200
2019-04-12,49.799999,50.035000,49.052502,49.717499,48.697666,111042800
2019-04-15,49.645000,49.962502,49.502499,49.807499,48.785820,70146400
2019-04-16,49.865002,50.342499,49.639999,49.812500,48.790722,102785600
2019-04-17,49.884998,50.845001,49.652500,50.782501,49.740826,115627200
2019-04-18,50.779999,51.037498,50.630001,50.965000,49.919586,96783200
2019-04-22,50.707500,51.235001,50.584999,51.132500,50.083645,77758000
2019-04-23,51.107498,51.937500,50.974998,51.869999,50.806026,93292000
2019-04-24,51.840000,52.119999,51.762501,51.790001,50.727665,70162400
2019-04-25,51.707500,51.939999,51.279999,51.320000,50.267300,74172800
2019-04-26,51.224998,51.250000,50.529999,51.075001,50.027325,74596400
2019-04-29,51.099998,51.492500,50.965000,51.152500,50.103237,88818800
2019-04-30,50.764999,50.849998,49.777500,50.167500,49.138439,186139600
2019-05-01,52.470001,53.827499,52.307499,52.630001,51.550426,259309200
2019-05-02,52.459999,53.162498,52.032501,52.287498,51.214951,127985200
2019-05-03,52.722500,52.959999,52.557499,52.937500,51.851620,83569600
2019-05-06,51.072498,52.209999,50.875000,52.119999,51.050892,129772400
2019-05-07,51.470001,51.855000,50.207500,50.715000,49.674709,155054800
2019-05-08,50.474998,51.334999,50.437500,50.724998,49.684498,105358000
2019-05-09,50.099998,50.419998,49.165001,50.180000,49.150684,139634400
2019-05-10,49.355000,49.712502,48.192501,49.294998,48.469784,164834800
2019-05-13,46.927502,47.369999,45.712502,46.430000,45.652740,229722400
2019-05-14,46.602501,47.424999,46.352501,47.165001,46.375435,146118800
2019-05-15,46.567501,47.937500,46.505001,47.730000,46.930973,106178800
2019-05-16,47.477501,48.117500,47.209999,47.520000,46.724491,132125600
2019-05-17,46.732498,47.724998,46.689999,47.250000,46.459011,131516400
2019-05-20,45.880001,46.087502,45.070000,45.772499,45.006248,154449200
2019-05-21,46.305000,47.000000,46.174999,46.650002,45.869057,113459200
2019-05-22,46.165001,46.427502,45.637501,45.695000,44.930046,118994400
2019-05-23,44.950001,45.134998,44.452499,44.915001,44.163101,146118800
2019-05-24,45.049999,45.535000,44.654999,44.742500,43.993488,94858800
2019-05-28,44.730000,45.147499,44.477501,44.557499,43.811584,111792800
2019-05-29,44.105000,44.837502,44.000000,44.345001,43.602642,113924800
2019-05-30,44.487499,44.807499,44.167500,44.575001,43.828793,84873600
2019-05-31,44.057499,44.497501,43.747501,43.767502,43.034817,108174400
2019-06-03,43.900002,44.480000,42.567501,43.325001,42.599720,161584400
2019-06-04,43.860001,44.957500,43.630001,44.910000,44.158184,123872000
2019-06-05,46.070000,46.247501,45.285000,45.634998,44.871044,119093600
2019-06-06,45.770000,46.367500,45.537498,46.305000,45.529827,90105200
2019-06-07,46.627499,47.980000,46.442501,47.537498,46.741699,122737600
2019-06-10,47.952499,48.842499,47.904999,48.145000,47.339031,104883600
2019-06-11,48.715000,49.000000,48.400002,48.702499,47.887196,107731600
2019-06-12,48.487499,48.992500,48.347500,48.547501,47.734787,73012800
2019-06-13,48.674999,49.197498,48.400002,48.537498,47.724957,86698400
2019-06-14,47.887501,48.397499,47.575001,48.185001,47.378368,75046000
2019-06-17,48.224998,48.740002,48.042500,48.472500,47.661045,58676400
2019-06-18,49.012501,50.072498,48.802502,49.612499,48.781967,106204000
2019-06-19,49.919998,49.970001,49.327499,49.467499,48.639389,84496800
2019-06-20,50.092499,50.152500,49.507500,49.865002,49.030235,86056000
2019-06-21,49.700001,50.212502,49.537498,49.695000,48.863079,191202400
2019-06-24,49.634998,50.040001,49.542500,49.645000,48.813919,72881600
2019-06-25,49.607498,49.814999,48.822498,48.892502,48.074020,84281200
2019-06-26,49.442501,50.247501,49.337502,49.950001,49.113811,104270000
2019-06-27,50.072498,50.392502,49.892502,49.935001,49.099064,83598800
2019-06-28,49.669998,49.875000,49.262501,49.480000,48.651680,124442400
2019-07-01,50.792500,51.122501,50.162498,50.387501,49.543983,109012000
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.834049,67740800
2019-07-03,50.820000,51.110001,50.672501,51.102501,50.247021,45448000
2019-07-05,50.837502,51.270000,50.724998,51.057499,50.202774,69062000
2019-07-08,50.202499,50.349998,49.602501,50.005001,49.167892,101354400
2019-07-09,49.799999,50.377499,49.702499,50.310001,49.467785,82312000
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.956955,71588400
2019-07-11,50.827499,51.097500,50.427502,50.437500,49.593155,80767200
2019-07-12,50.612499,51.000000,50.549999,50.825001,49.974163,70380800
2019-07-15,51.022499,51.467499,51.000000,51.302502,50.443680,67789600
2019-07-16,51.147499,51.527500,50.875000,51.125000,50.269142,67467200
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.986462,56430000
2019-07-18,51.000000,51.470001,50.924999,51.415001,50.554291,74162400
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.799641,83717200
2019-07-22,50.912498,51.807499,50.902500,51.805000,50.937756,89111600
2019-07-23,52.115002,52.227501,51.822498,52.209999,51.335976,73420800
2019-07-24,51.917500,52.287498,51.792500,52.167500,51.294189,59966400
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.888599,55638400
2019-07-26,51.869999,52.432499,51.785000,51.935001,51.065586,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.542461,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,51.321232,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,52.368397,277125600
2019-08-01,53.474998,54.507500,51.685001,52.107498,51.235191,216071600
2019-08-02,51.382500,51.607498,50.407501,51.005001,50.151157,163448400
2019-08-05,49.497501,49.662498,48.145000,48.334999,47.525852,209572000
2019-08-06,49.077499,49.517502,48.509998,49.250000,48.425529,143299200
2019-08-07,48.852501,49.889999,48.455002,49.759998,48.926994,133457600
2019-08-08,50.049999,50.882500,49.847500,50.857498,50.006123,108038000
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.594051,98478800
2019-08-12,49.904999,50.512501,49.787498,50.119999,49.468208,89927600
2019-08-13,50.255001,53.035000,50.119999,52.242500,51.563107,188874000
2019-08-14,50.790001,51.610001,50.647499,50.687500,50.028328,146189600
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.779110,108909600
2019-08-16,51.070000,51.790001,50.959999,51.625000,50.953636,110481600
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.903625,97654400
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.906090,107537200
2019-08-21,53.247501,53.412498,52.900002,53.160000,52.468678,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,52.424263,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,50.001186,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,50.951172,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,50.376244,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.714291,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,51.572975,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,51.506355,84573600
2019-09-03,51.607498,51.744999,51.055000,51.424999,50.756233,80092000
2019-09-04,52.097500,52.369999,51.830002,52.297501,51.617390,76752400
2019-09-05,53.000000,53.492500,52.877499,53.320000,52.626595,95654800
2019-09-06,53.512501,53.605000,53.127499,53.314999,52.621658,77449200
2019-09-09,53.709999,54.110001,52.767502,53.542500,52.846199,109237600
2019-09-10,53.465000,54.195000,52.927502,54.174999,53.470470,127111600
2019-09-11,54.517502,55.927502,54.432499,55.897499,55.170570,177158400
2019-09-12,56.200001,56.605000,55.715000,55.772499,55.047195,128906800
2019-09-13,55.000000,55.197498,54.255001,54.687500,53.976303,159053200
2019-09-16,54.432499,55.032501,54.389999,54.974998,54.260071,84632400
2019-09-17,54.990002,55.205002,54.779999,55.174999,54.457470,73274800
2019-09-18,55.264999,55.712502,54.860001,55.692501,54.968235,101360000
2019-09-19,55.502499,55.939999,55.092499,55.240002,54.521626,88242400
2019-09-20,55.345001,55.639999,54.367500,54.432499,53.724625,221652400
2019-09-23,54.737499,54.959999,54.412498,54.680000,53.968906,76662000
2019-09-24,55.257500,55.622501,54.297501,54.419998,53.712284,124763200
2019-09-25,54.637501,55.375000,54.285000,55.257500,54.538898,87613600
2019-09-26,55.000000,55.235001,54.707500,54.972500,54.257603,75334000
2019-09-27,55.134998,55.240002,54.320000,54.705002,53.993587,101408000
2019-09-30,55.224998,56.145000,55.197498,55.992500,55.264339,103909600
2019-10-01,56.267502,57.055000,56.049999,56.147499,55.417320,139223200
2019-10-02,55.764999,55.895000,54.482498,54.740002,54.028126,138449200
2019-10-03,54.607498,55.240002,53.782501,55.205002,54.487080,114426000
2019-10-04,56.410000,56.872501,55.972500,56.752499,56.014454,138478800
2019-10-07,56.567501,57.482498,56.459999,56.764999,56.026794,122306000
2019-10-08,56.455002,57.014999,56.082500,56.099998,55.370438,111820000
2019-10-09,56.757500,56.947498,56.410000,56.757500,56.019390,74770400
2019-10-10,56.982498,57.610001,56.825001,57.522499,56.774445,113013600
2019-10-11,58.237499,59.410000,58.077499,59.052502,58.284546,166795600
2019-10-14,58.724998,59.532501,58.667500,58.967499,58.200645,96427600
2019-10-15,59.097500,59.412498,58.720001,58.830002,58.064941,87360000
2019-10-16,58.342499,58.810001,58.299999,58.592499,57.830528,73903200
2019-10-17,58.772499,59.037498,58.380001,58.820000,58.055065,67585200
2019-10-18,58.647499,59.395000,58.572498,59.102501,58.333900,97433600
2019-10-21,59.380001,60.247501,59.330002,60.127499,59.345562,87247200
2019-10-22,60.290001,60.549999,59.904999,59.990002,59.209858,82293600
2019-10-23,60.525002,60.810001,60.305000,60.794998,60.004383,75828800
2019-10-24,61.127499,61.200001,60.452499,60.895000,60.103081,69275200
2019-10-25,60.790001,61.682499,60.720001,61.645000,60.843334,73477200
2019-10-28,61.855000,62.312500,61.680000,62.262501,61.452797,96572800
2019-10-29,62.242500,62.437500,60.642502,60.822498,60.031528,142839600
2019-10-30,61.189999,61.325001,60.302502,60.814999,60.024124,124522000
